Year,Month,Day,Hour,Minute,EMASignal,isPivot,CHOCH_pattern_detected,fibonacci_signal,LBD_detected,LBH_detected,SR_signal,isBreakOut,candlestick_signal,Trend,signal1,buy_signal,sell_signal,BB_signal,fractal_high,fractal_low,fractals_high,fractals_low,buy_signal1,Fractal_signal,sell_signal1,VSignal,PriceSignal,TotSignal,SLSignal,grid_signal,ordersignal,SLSignal_heiken,long_signal,martiangle_signal,Candle_direction,master_signal
2024,9,27,20,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0
2024,9,27,20,58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0
2024,9,27,20,59,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,1,1,0,3
2024,9,27,21,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,2,0,1,0,1,2
2024,9,27,21,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,1,1,1
2024,9,27,21,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0
2024,9,27,21,3,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
2024,9,27,21,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,0,1,1,0,1
2024,9,27,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,0,1,1,1,0
2024,9,27,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,0,1,1,0,0
2024,9,27,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,1,0,0,1,1,0,3
2024,9,27,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,1,0,0,0,0,2,0,1,1,1,2
2024,9,27,21,9,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,1,1,0,2,0,1,0,0,0,1,2,0,1,0,1,1
2024,9,27,21,10,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,2,0,1,0,0,0,1,2,0,1,0,1,0
2024,9,27,21,11,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,2,0,1,0,0,0,1,2,0,1,0,0,0
2024,9,27,21,12,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,1,1,1,0,2,0,1,0,0,0,0,2,0,1,0,0,1
2024,9,27,21,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,2,0,1,0,0,0,0,2,0,1,1,1,0
2024,9,27,21,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,2,0,1,0,0,0,0,2,0,1,0,0,2
2024,9,27,21,15,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,1,1,1,0,2,0,1,0,0,0,0,2,0,1,0,1,1
2024,9,27,21,16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,1,2,0,0,0,1,0
2024,9,27,21,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,1,2,0,0,0,0,2
2024,9,27,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,2,0,0,0,1,1
2024,9,27,21,19,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,2,0,0,0,1,0
2024,9,27,21,20,0,1,0,0,0,0,2,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0
2024,9,27,21,21,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,2,0,0,1,0,0
2024,9,27,21,22,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1
2024,9,27,21,23,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0
2024,9,27,21,24,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,2
2024,9,27,21,25,1,2,0,1,0,0,2,0,2,2,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,2,0,0,1,1,1
2024,9,27,21,26,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,2,0,0,1,1,0
2024,9,27,21,27,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,2,0,0,1,0,0
2024,9,27,21,28,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,2,0,0,0,0,1
2024,9,27,21,29,1,0,0,0,0,0,2,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0
2024,9,27,21,30,1,1,0,0,0,0,2,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0
2024,9,27,21,31,1,2,0,0,0,0,2,0,2,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,3
2024,9,27,21,32,1,0,0,0,0,0,2,0,2,2,2,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,2,0,0,0,1,2
2024,9,27,21,33,1,0,0,1,0,0,2,0,1,2,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,2,0,0,1,1,1
2024,9,27,21,34,1,0,2,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,2,0,0,0,1,0
2024,9,27,21,35,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0
2024,9,27,21,36,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0
2024,9,27,21,37,1,0,0,0,0,0,1,0,2,2,0,0,0,0,1,1,1,1,0,2,1,1,0,0,1,0,2,0,0,0,0,1
2024,9,27,21,38,1,0,0,1,0,0,1,0,2,1,2,0,0,0,1,1,1,1,0,2,0,1,0,0,1,0,2,0,0,1,1,0
2024,9,27,21,39,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,2,1,0,0,0,1,0,2,0,0,1,0,0
2024,9,27,21,40,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,2,1,1,0,0,1,0,2,0,1,0,0,0
2024,9,27,21,41,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,1,1,0,2,1,1,0,0,1,0,1,1,1,1,0,1
2024,9,27,21,42,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,1,1,0,2,1,0,0,0,1,0,1,1,1,0,1,0
2024,9,27,21,43,1,2,0,0,0,0,0,0,1,2,1,0,1,2,1,1,1,1,0,2,1,1,0,0,1,0,1,1,1,1,0,5
2024,9,27,21,44,1,2,0,0,0,0,0,0,0,2,0,0,1,2,1,1,1,1,0,2,1,1,0,0,1,0,1,1,1,0,1,4
2024,9,27,21,45,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,1,1,0,0,1,0,1,1,1,0,1,3
2024,9,27,21,46,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,2,1,1,0,0,1,0,1,1,1,1,1,2
2024,9,27,21,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,1,1,0,0,1,0,1,1,1,0,1,1
2024,9,27,21,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,1,1,0,0,1,0,1,1,1,0,1,1
2024,9,27,21,49,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,2,1,1,0,0,1,0,1,1,0,0,1,0
2024,9,27,21,50,2,0,1,2,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,2,1,1,0,0,2,0,1,1,0,1,0,1
2024,9,27,21,51,2,0,2,2,0,0,0,0,1,0,2,0,0,0,1,1,1,1,1,2,1,1,0,0,2,0,1,1,0,0,1,0
2024,9,27,21,52,1,2,0,0,0,0,0,1,1,2,1,0,0,0,1,1,1,1,0,2,1,1,0,0,1,0,1,1,1,1,0,5
2024,9,27,21,53,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,2,1,1,0,0,1,0,1,1,0,0,1,4
2024,9,27,21,54,2,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,1,1,0,2,1,1,0,0,2,0,1,1,0,1,1,3
2024,9,27,21,55,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,2,1,1,0,0,2,0,1,1,0,1,1,2
2024,9,27,21,56,2,0,0,0,0,0,1,1,2,0,0,1,0,1,1,1,1,1,1,2,1,1,0,0,2,0,0,0,0,1,1,1
2024,9,27,21,57,2,0,0,0,0,0,0,1,2,0,0,1,0,1,1,1,1,1,1,2,1,1,0,0,2,0,0,0,0,1,1,0
2024,9,27,21,58,2,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,2,1,1,0,0,2,0,1,1,0,0,0,0
2024,9,27,21,59,2,2,0,2,0,0,0,1,2,2,0,1,0,1,1,1,1,1,0,2,1,1,0,0,2,0,1,1,0,1,0,2
2024,9,27,22,0,2,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,2,1,1,1,2,2,0,1,1,0,0,1,1
2024,9,27,22,1,2,1,2,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,2,1,0,0,0,2,0,1,1,0,0,1,0
2024,9,27,22,2,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,2,1,1,0,0,2,0,1,1,0,1,0,0
2024,9,27,22,3,2,0,1,0,0,0,2,1,0,2,0,0,0,0,1,1,1,1,0,2,1,1,0,0,2,0,1,1,0,1,0,1
2024,9,27,22,4,2,0,2,2,0,0,2,1,1,0,0,1,0,1,1,1,1,1,0,2,1,1,1,2,2,0,1,1,0,0,1,0
2024,9,27,22,5,2,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,2,1,1,0,0,2,0,1,1,0,0,0,0
2024,9,27,22,6,2,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,2,1,1,0,0,2,0,1,1,1,0,0,1
2024,9,27,22,7,2,2,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,2,0,1,1,2,2,0,1,1,0,1,1,0
2024,9,27,22,8,2,0,0,0,1,0,1,1,2,0,0,0,0,0,1,1,1,1,0,2,0,0,0,0,2,0,1,1,0,0,0,5
2024,9,27,22,9,2,0,0,0,0,0,1,1,2,2,2,0,0,0,1,1,1,1,0,2,0,1,0,0,2,0,1,1,0,0,1,4
2024,9,27,22,10,2,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,1,1,0,2,0,1,0,0,2,0,0,0,0,0,1,3
2024,9,27,22,11,2,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,2,0,1,0,0,2,0,0,0,0,0,1,2
2024,9,27,22,12,2,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,2,0,1,0,0,2,0,0,0,0,1,1,1
2024,9,27,22,13,2,0,0,0,0,0,1,1,0,2,0,1,0,1,1,1,1,1,0,2,0,1,0,0,2,0,1,1,0,0,1,1
2024,9,27,22,14,2,0,0,0,0,0,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,2,1,1,1,0,1,1,0
2024,9,27,22,15,2,0,0,0,0,0,2,1,1,2,0,1,0,1,1,1,1,1,0,1,0,1,0,0,2,1,1,1,0,1,0,5
2024,9,27,22,16,2,0,0,0,0,0,2,1,0,2,0,1,0,1,1,1,1,1,1,1,0,1,0,0,2,1,1,1,0,1,1,4
2024,9,27,22,17,2,0,0,0,0,0,2,1,1,2,0,1,0,1,1,1,1,1,1,1,0,1,0,0,2,1,1,1,0,0,1,3
2024,9,27,22,18,2,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,2,1,2,0,0,1,1,2
2024,9,27,22,19,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,2,1,2,0,0,0,1,1
2024,9,27,22,20,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,2,1,2,0,0,1,1,0
2024,9,27,22,21,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,2,1,2,0,0,1,0,3
2024,9,27,22,22,2,0,0,0,0,0,0,1,2,0,2,1,0,1,1,1,1,1,1,1,0,1,0,0,2,1,2,0,0,0,1,2
2024,9,27,22,23,2,0,0,0,0,0,0,1,2,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,2,0,2,0,0,1,1,1
2024,9,27,22,24,2,0,2,0,0,0,0,1,2,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,2,0,2,0,0,1,1,0
2024,9,27,22,25,2,0,0,2,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,2,1,2,0,0,1,0,1
2024,9,27,22,26,2,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,2,1,2,0,0,1,1,0
