Datetime,Open,High,Low,Close,Volume,Adj Close
2024-09-27 20:57:00+00:00,158.2,158.2,158.08,158.08,39959,367
2024-09-27 20:58:00+00:00,158.08,158.13,158.01,158.03,99621,258
2024-09-27 20:59:00+00:00,158.03,158.03,157.94,157.98,145050,233
2024-09-27 21:00:00+00:00,157.97,158.22,157.97,158.22,232770,555
2024-09-27 21:01:00+00:00,158.22,158.24,158.15,158.23,101407,251
2024-09-27 21:02:00+00:00,158.24,158.32,158.24,158.3,96371,393
2024-09-27 21:03:00+00:00,158.31,158.31,158.19,158.19,22034,209
2024-09-27 21:04:00+00:00,158.19,158.21,158.05,158.05,226225,433
2024-09-27 21:05:00+00:00,158.06,158.08,157.99,158.05,434656,360
2024-09-27 21:06:00+00:00,158.06,158.06,157.94,157.94,70507,196
2024-09-27 21:07:00+00:00,157.95,157.95,157.81,157.81,66734,332
2024-09-27 21:08:00+00:00,157.82,157.9,157.78,157.88,216365,351
2024-09-27 21:09:00+00:00,157.87,157.93,157.86,157.91,38731,166
2024-09-27 21:10:00+00:00,157.91,157.97,157.91,157.92,73378,153
2024-09-27 21:11:00+00:00,157.92,157.93,157.86,157.86,58118,97
2024-09-27 21:12:00+00:00,157.87,157.89,157.77,157.8,97670,192
2024-09-27 21:13:00+00:00,157.81,157.89,157.8,157.84,47465,179
2024-09-27 21:14:00+00:00,157.83,157.84,157.79,157.8,191648,127
2024-09-27 21:15:00+00:00,157.79,157.88,157.77,157.8,183717,249
2024-09-27 21:16:00+00:00,157.81,157.98,157.81,157.97,179406,276
2024-09-27 21:17:00+00:00,157.97,157.97,157.88,157.88,59516,238
2024-09-27 21:18:00+00:00,157.89,158.08,157.88,158.04,305736,427
2024-09-27 21:19:00+00:00,158.04,158.11,158.03,158.1,111348,128
2024-09-27 21:20:00+00:00,158.1,158.11,158.07,158.07,110880,182
2024-09-27 21:21:00+00:00,158.06,158.06,158.0,158.01,37271,151
2024-09-27 21:22:00+00:00,158.0,158.01,157.96,157.96,52232,128
2024-09-27 21:23:00+00:00,157.97,157.99,157.94,157.98,175994,197
2024-09-27 21:24:00+00:00,157.97,157.97,157.91,157.91,58320,159
2024-09-27 21:25:00+00:00,157.92,158.0,157.87,158.0,187537,400
2024-09-27 21:26:00+00:00,158.0,158.03,158.0,158.03,49588,105
2024-09-27 21:27:00+00:00,158.03,158.03,158.01,158.02,86109,92
2024-09-27 21:28:00+00:00,158.01,158.02,157.97,157.97,117759,162
2024-09-27 21:29:00+00:00,157.97,158.01,157.97,158.0,91670,143
2024-09-27 21:30:00+00:00,158.0,158.06,157.93,157.94,424969,513
2024-09-27 21:31:00+00:00,157.93,157.93,157.89,157.91,88850,202
2024-09-27 21:32:00+00:00,157.91,157.95,157.9,157.94,85447,267
2024-09-27 21:33:00+00:00,157.95,158.04,157.95,158.03,71111,150
2024-09-27 21:34:00+00:00,158.04,158.05,158.03,158.04,31521,92
2024-09-27 21:35:00+00:00,158.04,158.04,157.9,157.92,160554,429
2024-09-27 21:36:00+00:00,157.92,157.93,157.9,157.9,53859,124
2024-09-27 21:37:00+00:00,157.9,157.9,157.82,157.84,116800,257
2024-09-27 21:38:00+00:00,157.84,157.92,157.84,157.92,64883,220
2024-09-27 21:39:00+00:00,157.91,157.92,157.88,157.88,35904,140
2024-09-27 21:40:00+00:00,157.88,157.88,157.68,157.68,822855,491
2024-09-27 21:41:00+00:00,157.68,157.68,157.55,157.61,114430,304
2024-09-27 21:42:00+00:00,157.62,157.64,157.61,157.64,56742,125
2024-09-27 21:43:00+00:00,157.64,157.64,157.5,157.5,199388,281
2024-09-27 21:44:00+00:00,157.5,157.51,157.5,157.5,71191,117
2024-09-27 21:45:00+00:00,157.51,157.63,157.5,157.62,79267,201
2024-09-27 21:46:00+00:00,157.62,157.66,157.61,157.62,117598,166
2024-09-27 21:47:00+00:00,157.61,157.62,157.61,157.62,12317,86
2024-09-27 21:48:00+00:00,157.61,157.63,157.61,157.63,39238,98
2024-09-27 21:49:00+00:00,157.62,157.68,157.62,157.67,26685,103
2024-09-27 21:50:00+00:00,157.67,157.69,157.62,157.64,294178,361
2024-09-27 21:51:00+00:00,157.64,157.69,157.64,157.68,26739,130
2024-09-27 21:52:00+00:00,157.68,157.7,157.55,157.55,102904,352
2024-09-27 21:53:00+00:00,157.55,157.64,157.55,157.62,112051,206
2024-09-27 21:54:00+00:00,157.61,157.66,157.61,157.64,35327,146
2024-09-27 21:55:00+00:00,157.64,157.68,157.64,157.68,42243,100
2024-09-27 21:56:00+00:00,157.68,157.74,157.67,157.74,49585,143
2024-09-27 21:57:00+00:00,157.74,157.77,157.73,157.77,63037,126
2024-09-27 21:58:00+00:00,157.76,157.85,157.75,157.75,67852,381
2024-09-27 21:59:00+00:00,157.74,157.74,157.59,157.65,293653,476
2024-09-27 22:00:00+00:00,157.66,157.84,157.66,157.75,120264,341
2024-09-27 22:01:00+00:00,157.75,157.85,157.73,157.77,48251,449
2024-09-27 22:02:00+00:00,157.76,157.78,157.65,157.74,189603,674
2024-09-27 22:03:00+00:00,157.73,157.76,157.65,157.66,144346,295
2024-09-27 22:04:00+00:00,157.67,157.81,157.67,157.7,179337,363
2024-09-27 22:05:00+00:00,157.7,157.73,157.56,157.58,51458,210
2024-09-27 22:06:00+00:00,157.58,157.6,157.47,157.48,122734,202
2024-09-27 22:07:00+00:00,157.48,157.58,157.41,157.57,119437,547
2024-09-27 22:08:00+00:00,157.56,157.56,157.43,157.53,70106,170
2024-09-27 22:09:00+00:00,157.53,157.65,157.52,157.63,175898,334
2024-09-27 22:10:00+00:00,157.64,157.69,157.63,157.68,33766,169
2024-09-27 22:11:00+00:00,157.69,157.76,157.68,157.72,60090,212
2024-09-27 22:12:00+00:00,157.72,157.79,157.68,157.78,54597,247
2024-09-27 22:13:00+00:00,157.79,157.85,157.75,157.83,83802,233
2024-09-27 22:14:00+00:00,157.83,157.97,157.83,157.95,228437,342
2024-09-27 22:15:00+00:00,157.95,157.98,157.8,157.83,285750,488
2024-09-27 22:16:00+00:00,157.84,157.94,157.83,157.93,28871,232
2024-09-27 22:17:00+00:00,157.93,158.0,157.93,157.99,145890,274
2024-09-27 22:18:00+00:00,157.99,158.1,157.99,158.07,143767,317
2024-09-27 22:19:00+00:00,158.06,158.1,158.06,158.1,46185,149
2024-09-27 22:20:00+00:00,158.1,158.19,158.08,158.16,116074,406
2024-09-27 22:21:00+00:00,158.15,158.18,158.11,158.12,102252,177
2024-09-27 22:22:00+00:00,158.11,158.2,158.1,158.18,141449,227
2024-09-27 22:23:00+00:00,158.19,158.2,158.13,158.2,64824,173
2024-09-27 22:24:00+00:00,158.2,158.24,158.19,158.24,87781,238
2024-09-27 22:25:00+00:00,158.24,158.24,158.08,158.11,76677,442
2024-09-27 22:26:00+00:00,158.11,158.12,158.08,158.11,65220,202
2024-09-27 22:27:00+00:00,158.11,158.13,158.05,158.09,69489,236
2024-09-27 22:28:00+00:00,158.1,158.28,158.09,158.28,143309,339
2024-09-27 22:29:00+00:00,158.28,158.29,158.22,158.23,136736,223
2024-09-27 22:30:00+00:00,158.22,158.22,158.03,158.05,117213,506
2024-09-27 22:31:00+00:00,158.06,158.08,158.01,158.01,56410,186
2024-09-27 22:32:00+00:00,158.01,158.09,157.98,158.05,159126,340
2024-09-27 22:33:00+00:00,158.05,158.12,158.04,158.11,114917,216
2024-09-27 22:34:00+00:00,158.11,158.19,158.08,158.18,102283,237
2024-09-27 22:35:00+00:00,158.18,158.19,158.04,158.07,158101,418
2024-09-27 22:36:00+00:00,158.07,158.19,158.07,158.19,50235,255
2024-09-27 22:37:00+00:00,158.19,158.19,158.05,158.06,115048,215
2024-09-27 22:38:00+00:00,158.05,158.05,158.0,158.02,49583,234
2024-09-27 22:39:00+00:00,158.02,158.11,158.02,158.09,42164,238
2024-09-27 22:40:00+00:00,158.1,158.13,158.03,158.04,50315,297
2024-09-27 22:41:00+00:00,158.05,158.14,158.05,158.12,47666,197
2024-09-27 22:42:00+00:00,158.11,158.17,158.11,158.16,43393,133
2024-09-27 22:43:00+00:00,158.17,158.19,158.14,158.15,57023,155
2024-09-27 22:44:00+00:00,158.15,158.24,158.15,158.24,66997,214
2024-09-27 22:45:00+00:00,158.24,158.24,158.18,158.23,41170,241
2024-09-27 22:46:00+00:00,158.23,158.27,158.18,158.18,112023,242
2024-09-27 22:47:00+00:00,158.18,158.22,158.17,158.2,108585,161
2024-09-27 22:48:00+00:00,158.2,158.2,158.14,158.14,40716,148
2024-09-27 22:49:00+00:00,158.15,158.16,158.1,158.11,22117,143
2024-09-27 22:50:00+00:00,158.1,158.13,158.08,158.09,59991,197
2024-09-27 22:51:00+00:00,158.09,158.09,158.03,158.03,67879,194
2024-09-27 22:52:00+00:00,158.03,158.08,158.03,158.05,53366,217
2024-09-27 22:53:00+00:00,158.06,158.1,158.05,158.09,39162,150
2024-09-27 22:54:00+00:00,158.09,158.15,158.08,158.13,47059,164
2024-09-27 22:55:00+00:00,158.13,158.13,158.1,158.12,37744,106
2024-09-27 22:56:00+00:00,158.12,158.14,158.08,158.09,203925,231
2024-09-27 22:57:00+00:00,158.09,158.09,158.06,158.06,39269,102
2024-09-27 22:58:00+00:00,158.07,158.1,158.06,158.09,52680,130
2024-09-27 22:59:00+00:00,158.09,158.1,158.04,158.06,41788,95
2024-09-27 23:00:00+00:00,158.05,158.14,158.05,158.14,126914,276
2024-09-27 23:01:00+00:00,158.14,158.18,158.13,158.16,61855,299
2024-09-27 23:02:00+00:00,158.17,158.21,158.17,158.2,74132,141
2024-09-27 23:03:00+00:00,158.2,158.21,158.18,158.19,28624,80
2024-09-27 23:04:00+00:00,158.19,158.25,158.19,158.25,181655,187
2024-09-27 23:05:00+00:00,158.25,158.25,158.22,158.25,49520,99
2024-09-27 23:06:00+00:00,158.25,158.25,158.02,158.02,139319,489
2024-09-27 23:07:00+00:00,158.03,158.05,158.0,158.04,73468,235
2024-09-27 23:08:00+00:00,158.04,158.09,158.0,158.08,51678,167
2024-09-27 23:09:00+00:00,158.08,158.12,158.08,158.11,74146,74
2024-09-27 23:10:00+00:00,158.12,158.16,158.11,158.13,55003,143
2024-09-27 23:11:00+00:00,158.13,158.13,158.02,158.02,104245,216
2024-09-27 23:12:00+00:00,158.03,158.03,157.97,157.99,136352,238
2024-09-27 23:13:00+00:00,157.98,158.01,157.94,158.0,124895,239
2024-09-27 23:14:00+00:00,158.01,158.02,158.0,158.02,28743,101
2024-09-27 23:15:00+00:00,158.01,158.02,158.0,158.0,58976,84
2024-09-27 23:16:00+00:00,158.0,158.01,157.95,157.96,23362,116
2024-09-27 23:17:00+00:00,157.95,157.98,157.95,157.98,33513,76
2024-09-27 23:18:00+00:00,157.98,157.98,157.71,157.75,252380,449
2024-09-27 23:19:00+00:00,157.74,157.81,157.72,157.81,72546,277
2024-09-27 23:20:00+00:00,157.81,157.83,157.67,157.7,336826,462
2024-09-27 23:21:00+00:00,157.7,157.74,157.68,157.72,79838,264
2024-09-27 23:22:00+00:00,157.73,157.73,157.61,157.64,84784,307
2024-09-27 23:23:00+00:00,157.63,157.69,157.63,157.69,76009,161
2024-09-27 23:24:00+00:00,157.69,157.69,157.64,157.65,62261,185
2024-09-27 23:25:00+00:00,157.65,157.7,157.63,157.7,58901,147
2024-09-27 23:26:00+00:00,157.7,157.74,157.64,157.65,94056,248
2024-09-27 23:27:00+00:00,157.64,157.65,157.57,157.64,167294,356
2024-09-27 23:28:00+00:00,157.65,157.76,157.64,157.74,21703,230
2024-09-27 23:29:00+00:00,157.74,157.76,157.68,157.68,94475,227
2024-09-27 23:30:00+00:00,157.67,157.84,157.65,157.84,99345,402
2024-09-27 23:31:00+00:00,157.83,157.83,157.77,157.79,58178,93
2024-09-27 23:32:00+00:00,157.79,157.79,157.69,157.73,35870,118
2024-09-27 23:33:00+00:00,157.72,157.84,157.69,157.8,39903,200
2024-09-27 23:34:00+00:00,157.8,157.85,157.75,157.75,129958,223
2024-09-27 23:35:00+00:00,157.76,157.82,157.76,157.82,56150,124
2024-09-27 23:36:00+00:00,157.81,157.82,157.68,157.68,69298,378
2024-09-27 23:37:00+00:00,157.68,157.7,157.6,157.61,54491,201
2024-09-27 23:38:00+00:00,157.61,157.61,157.55,157.58,34678,198
2024-09-27 23:39:00+00:00,157.58,157.6,157.53,157.53,139723,277
2024-09-27 23:40:00+00:00,157.54,157.55,157.52,157.53,37800,128
2024-09-27 23:41:00+00:00,157.53,157.55,157.5,157.51,107140,223
2024-09-27 23:42:00+00:00,157.51,157.51,157.42,157.42,153843,277
2024-09-27 23:43:00+00:00,157.41,157.48,157.41,157.45,40939,174
2024-09-27 23:44:00+00:00,157.45,157.5,157.43,157.5,172741,225
2024-09-27 23:45:00+00:00,157.49,157.55,157.47,157.54,187872,247
2024-09-27 23:46:00+00:00,157.53,157.62,157.49,157.6,69724,292
2024-09-27 23:47:00+00:00,157.6,157.68,157.59,157.67,99602,180
2024-09-27 23:48:00+00:00,157.68,157.7,157.62,157.7,142148,315
2024-09-27 23:49:00+00:00,157.7,157.74,157.69,157.73,20593,113
2024-09-27 23:50:00+00:00,157.73,157.75,157.68,157.69,29562,257
2024-09-27 23:51:00+00:00,157.69,157.7,157.6,157.61,38059,260
2024-09-27 23:52:00+00:00,157.6,157.7,157.59,157.7,60725,307
2024-09-27 23:53:00+00:00,157.7,157.71,157.69,157.71,10126,65
2024-09-27 23:54:00+00:00,157.71,157.72,157.65,157.72,163537,296
2024-09-27 23:55:00+00:00,157.72,157.72,157.66,157.68,132588,207
2024-09-27 23:56:00+00:00,157.67,157.74,157.65,157.72,36115,250
2024-09-27 23:57:00+00:00,157.73,157.73,157.65,157.65,270681,150
2024-09-27 23:58:00+00:00,157.66,157.72,157.65,157.67,132356,168
2024-09-27 23:59:00+00:00,157.67,157.67,157.58,157.64,100883,271
2024-09-28 00:00:00+00:00,157.63,157.72,157.59,157.61,222116,353
2024-09-28 00:01:00+00:00,157.61,157.76,157.61,157.64,70378,550
2024-09-28 00:02:00+00:00,157.64,157.76,157.61,157.73,71663,428
2024-09-28 00:03:00+00:00,157.73,157.92,157.72,157.9,298721,467
2024-09-28 00:04:00+00:00,157.89,157.92,157.87,157.91,74403,149
2024-09-28 00:05:00+00:00,157.91,157.92,157.85,157.88,45637,272
2024-09-28 00:06:00+00:00,157.88,157.91,157.83,157.9,125670,370
2024-09-28 00:07:00+00:00,157.9,157.9,157.78,157.87,41925,412
2024-09-28 00:08:00+00:00,157.88,157.88,157.82,157.82,73992,284
2024-09-28 00:09:00+00:00,157.82,157.82,157.74,157.8,41644,241
2024-09-28 00:10:00+00:00,157.8,157.89,157.78,157.89,99843,340
