,Index,ExtractedText,image_link,group_id,entity_name,entity_value
0,0,"PROPOS'
NATUREJ
INGREDIENT MENAGER
MULTI-USAGE
TERRE dE
SOMMIERES
100% NATUREL
Argile
10035
pure
et  naturelle
Lerre
Sommierespresente des proprletesabsorbantes
permettent
nelloyage
ser des laches
recalcitranites Sur toutes les surfaces (moquette;
tapis; parquet_} Elle
est aussi
eflicace
desodoriser le linge-
Ingredient
Bentonite
Dosage conseille
Sclon usag2.
Lmnna Daci
cater 4 04 (nune
Ancoudlols
Riv (oroc porc
tnlone
IOO
@500 g
Jusou2i lanl
LBORATOIRERROPOSNATURE
ZCUGRALDeC .Muacoji JHI4664
e+aa5
~Mp""oor njinc0t
780 103
pour",https://m.media-amazon.com/images/I/61I9XdN6OFL.jpg,748919,item_weight,500.0 gram
1,1,"TrLeea=_
U2er
R
RRIFIC;
LEBENSMITTELECHT
Cw
DAV
GEPRAGTES
DESIGN
As YQULIKE
BEST
Designed in
V
cctre
Y
[Bextin ]
LIZENZIERTE UND GESCHITZTE DESIGNS
TEA
WITH
ceckies
Cet",https://m.media-amazon.com/images/I/71gSRbyXmoL.jpg,916768,item_volume,1.0 cup
2,2,"COMPOSITION
Serving Size:
Tablet (0.709 g)
Each serving contains (Approx Values):
Ingredient
Oty. / Serving
84 ROAH
#PHOSPHOcomplex@ Silybin (Sillybum marianum)
200 mg
Dandelion (Taraxacum officinale) leaf extract
10.1
100 mg
Kutki (Picrorhiza kurroalrhizome extract
0.5% Bitters
50 mg
Kasani (Cichorium intybus) seed extract
1% Bitters
25 mg
Punarnava (Boerhavia diffusa) root extract
0.07% alkaloids
25 mg
#
Bhui amla (Phyllanthus amarus) WP extract -
0.57 Bitters
25 mg
Amla (Phyllanthus emblica) fruit extract _
10% Tannins
25 mg
Licorice (Glycyrrhiza glabra) root extract
5k Glycyrrhizin
25 mg
Vitamin E
10 mg
100
Piper nigrum fruit extract _ 95% Piperine
5 mg
NUTRITIONAL INFORMATION PER SERVING (APprox. VALUES):
Nutrients
Oty: / Serving
%RDA#
Energy
3.04 kcal
0.13
Carbohydrate
0.51 g
(Sugars)
0.2g
Protein
0.04 g
0.07
Fat
0.09 g
""YRDA values established as per ICMR 2010 for sedentary lifestyle-Men
#*% RDA not established by ICMR",https://m.media-amazon.com/images/I/61BZ4zrjZXL.jpg,459516,item_weight,0.709 gram
3,4,"Horbaach
HIGH
StRENGTH
PSYLLIUM
HUSK
PLANTAGO OVATA
1400mG
PLANT SEEDS
FOOD
VEGAN
SUPPLEMENT
365
CAPSULES",https://m.media-amazon.com/images/I/617Tl40LOXL.jpg,731432,item_weight,1400 milligram
4,10,"GroBe Kapazicat; Tragiahigkeit bis zu 30KG
Das Material ist ca_
Smm dick und die Fugen sind verstarkt;, so dass
es sehr stark ist.
Tragfahigkeit bis zu 3OKG, kann eine Vielzahl von Gegenstanden
30
KG
aufnehmen.",https://m.media-amazon.com/images/I/81N73b5khVL.jpg,149159,item_weight,30.0 kilogram
5,11,"WILDFANG
U
XS
8
M
X 
1,3 cm
2 cm
2,5 cm
3 cm
3,5 cm
12 cm
13 cm
14 cm
15 cm
16 cm
<10kg
10-15kg
15-25kg
25-45 kg
45kg
7",https://m.media-amazon.com/images/I/61oMj2iXOuL.jpg,308856,item_weight,10 kilogram to 15 kilogram
6,12,"K
Helps in
osteoarthritis
Helps in
digestion
Reduces
inflammation
BASED
Anti-bacterial
properties
C
(0
Helps in
0
PCOS
1F4
0A
ok
9
CK
Ako
ORGANICS
SeRICH
ORGANICS
RIc
ORGANICS
SRICH
ORGANICS
USDA
ORGANIC
FH
SgRICH
ORGANICS
(
RICH
RFOOD
1
SUPE
RG ORGANICS
aSNja `
SZVIIN3SS: 
BASED
SUPERFOOD
PLANT
RICH
ORGANIC
SrRCH
SPEARMINT
ZANICS
TEA
GREEN
VITAMIN A
ANTIOXIDANTS
IN NATURE
HIGH I
PRIC
RICH IN /
ANTI-BACTERIAL =
(3.53
IRON
PANICS
4
SOURCE =
100 =
GREAT -
WEIGHT
Sacp""
ORGANICS
NET
~ERICH
ANICS",https://m.media-amazon.com/images/I/91LPf6OjV9L.jpg,281678,item_weight,3.53 ounce
7,14,"PACKAGING
CHANGED
FOOD FOR THE MODERN LIFE
SUPERFOOD
SNEO
SS-RICH
HANDMADE
FRMEKS
QUALITY
Lctii
Yemondilecl
Produdi
ORGANICS
#jct(
Tcinct
0sonchkbt
Daded
cet
Mecin
Dlamaora
aleurbalk
Gdcnnc 
Ss-RICH
Our body
lenpe ond pu-ing
Jranohro
SPEARMINT PURE HERB
Ik key
elicienty. W%o
sponiinl i Ird miooucs teib whkh ble ce dxu
ORGANICS
Sorich Organis bclicte Iat te first se?
beilcr
Ke *arb wilh Ike focd rou tol
irsida ond ou:. Hgh polassum kzvel cf na herb
Bood pressue in comol, Ilaso keeps horcr
Ooance
Jable netrork
larmur}
arcg
9rovpt
#hcm
pre
cgani
HOW TO USE
grox' raturol Pcslicida-Frcc produce-
Seni redional ter, spearrrinl con
Trode Inta herbal
bounty Tro ihlFom Molrer
Gicone
#uxdos&ce 
veg olle
cjorcd compalcly noturals
cUnes Cr
for sprinklng pposes
Ingredients
Spcormin: Heioal ka.
SORIcHoRGanics.Com
Nutritional Facts
Jssa
Kia
Serving size
289
PLANT BASED
Calories
8Okcal
SUPERFOOD
Jatln
oRdoJumt ""
Total Corbohydrale
SPEARMINT
Sugor
neon
Ztada
Dictry Fibrc
GREEN TEA
lolal Fal
Caution
Pocied
lacility tat hanxlos &ther
Satralce
nut and td
Do n
prooucl
Sodium
lomeced
domagcd
Prolein
Storoge Instructions
Stre =
HIGHIN YIAMINA
Festnekc
Rccp tnc
product
coAd
Keseve
BEST MIFORE 12 MCNHS FROM THE DAIE Of PACKAGING
Conium wiltin
mcalhs alrt optning
pockul
RICHIN ANTIOXIOANTS
PAceeGeg
AND MARKEIED Bt:
Sorich Organics Pxt; Ld.
NET WT : 100g
5302)
An-JACTERIAL
NATURE
12, Sorojini Naidu Park Shaslri Nogor
MRP Rs.
300/ -
New Dolhi: 110031
Irdio
India
GREAT SQURCE OF IRON
USDA
For cuslomcr fecdbock
PKD.
7303151675
snreeoioocotc Cet
BATCH NO.
ISCIZJ6E
cbott
eledloch d0re=
2
ORGANIC
Lcd
nleen
redliycek{sodt driz # 8 Rahott cxe
6eETe tete
SUPERFOOD
FOOD FOR THE MODERN LIFE
&8
Certificd Organic by OncCert Int:
Sz JSNJa
(Accredeation No- NPOP/NAB/008]
BEFORE
Ss-RICH
Jssal
Wtam
USDA
Onecert'
ORGANICS
LIC. No. 12721999000135
Ss-RICH
Our
temple  and putting
raw and
ORGANIC SPEARMINT HERBAL TEA
natural Foods
Ine key
makc
run efficiently-
Spearmint is that miraculous herb whicn Iake
ORGANICS
We at Sorich
Organics believe that ihe first step to
level
care of you inside and out. High potassium
better life starts with the Food you eat,
of tne herb
blocd pressure in control:
also keeps
We work with
stoble network of farmers and
hormonal palance.
farmer   groups,
ofwhom
practice   organic
DIRECTION OF USE
farming and grow natural, pesticide-free produce;
We bring
you Ihe bounly straight from Mother
Semi medicinal herb, spearminl can be made inlo herbal
Earth,
giving You
food
was mcant Io be
iea_
I can also be ground, if used as & spice in
vegetable
enjoyed-completely natural.
curries or for sprinkling purposes:
WWW.SORICHORGANICS.Com
Ingredients : Organic Spearmint Pure Herb
Country of Origin
India
PLANT BASED
HANDCRAFTED
ELPING
Nutritional Facts
ORGANIC
SUPERFOOD
FOR FRESHNESS
FARMERS
QUALITY
Serving size
289
JEcmts
tora Oirechy
prcducl 0
Itteth thclunmo
Ogmiot}
Woc""d 0l Sonch Ous
Calories
8Okcal
LDPE
SPEARMINT
wperlcodt pxtod
Cncort
Mronao
""tor qucit Iayle and
alour toulin
plont-
Maahn 
Totol Carbohydrate
Coution
Pocked
Foclity Ihat hond es otter nuls and
Total Sugar
scods Do not buy the prodixt if it is lompered
domoged
Dietry Fibre
GREEN TEA
Storoge Instructions
Store
cool =
dry ploce Kcep
Totol Fot
the product scaled
preserye freshness
Saturaled Fat
MANUFACTURED AND MARKETED BY:
Sodium
mg
HIGH IN VITAMIN
Sorich Orgonics Pvt: Ltd.
Protein
Plot No-63, Block-B, Sector-63, Noida,
RICH IN ANTIOXIDANTS
Buddha
Consume within 2 months after opening the
Nagar; Uttar Pradesh
201301
For customer feedback
NET WEIGHT
100 g (3.53 0z)
ANTI-BACTERIAL IN NATURE
contact us; +91-7303330675
emoil:
care@sorichorganics.
com
MRP Rs.
GREAT SOURCE OF IRON
ot ollroxnt
Focebook com/ sorichorganics/
com/sorich organics/
Poncnantad
BATCH NO.
NET WEIGHT
100 g (3.53 0z)
Iniofond kbd oahic/cob lpock dgni
pnishatlo dkrc
PKD:
obou
hooth bencfs
nuttifkandl foch & Ihis prodid
kom prirt eb .
078
ord cueny; Ore
cortirm ta %ne Fon
Iheir venhobk
Auno
USE BY
AFTER
Note:
Packaging may vary for a brief period of time:
Pun0
INialnt'
7d
Lonig
Jcon
grourd;
4a$
Countny
Origin
tmvtou
PLANT ,
~PREMIUM F
'BASED
1
'INJIION
body
keeps
Goulom
pocket:
erout
instagram.
Inlenton
pourced
medo
odta",https://m.media-amazon.com/images/I/81dzao1Ob4L.jpg,281678,item_weight,53 ounce
8,15,"X
Loose packaging
X Impurities added
34
Other
Does
not brew easily:
brands
k
Added preservatiyes
Processed chemically
VS
QSDMc
SUPERFOOD
Sz JSNga
Air-tight packaging
SoRGICH
Impurities free
cS
PLANT RASF'
Brews easily
ORGANIC
SUPZRFOOD
SPEARMINT
GREEN TEA
No
preservative
HIGH IN VITAMINA
RICH IN ANTIOXIDANTS
ANTI-BACTERIAL IN NATURE
Directly from farm
GREAT SOURCE OF IRON
NET WEIGHT
100 g (3.53 02)
ch
iz
YCS
QCH
Ss-RIC
Ch
ORGAN
KICH
QRGANICS
SsRICHC
LACH
ORGANIC(
ANICS
PI ANT E
PREMIUM
1 BASED
1
JNJIdION
SsRC
DRICH
RGC
ORGANICS
SeRI
added p
XCh
SeRICH
ORGANICS
GRiC
ANICS",https://m.media-amazon.com/images/I/91-iahVGEDL.jpg,281678,item_weight,100 gram
9,16,"#
Glucon-D
FREE' Reejukarzoog
Ipack
Glucon-D
1
Instant Energy
Ill
1
K
6
d
k
@
P
B6
UUHlans
Reyulan
6
99.4%
pure
Glucose
Vitamin
Minerals",https://m.media-amazon.com/images/I/81S2+GnYpTL.jpg,731432,item_weight,200 gram
